Date,Close
1/4/2010,10654.79
1/5/2010,10681.83
1/6/2010,10731.45
1/7/2010,10681.66
1/8/2010,10798.32
1/12/2010,10879.14
1/13/2010,10735.03
1/14/2010,10907.68
1/15/2010,10982.10
1/18/2010,10855.08
1/19/2010,10764.90
1/20/2010,10737.52
1/21/2010,10868.41
1/22/2010,10590.55
1/25/2010,10512.69
1/26/2010,10325.28
1/27/2010,10252.08
1/28/2010,10414.29
1/29/2010,10198.04
2/1/2010,10205.02
2/2/2010,10371.09
2/3/2010,10404.33
2/4/2010,10355.98
2/5/2010,10057.09
2/8/2010,9951.82
2/9/2010,9932.90
2/10/2010,9963.99
2/12/2010,10092.19
2/15/2010,10013.30
2/16/2010,10034.25
2/17/2010,10306.83
2/18/2010,10335.69
2/19/2010,10123.58
2/22/2010,10400.47
2/23/2010,10352.10
2/24/2010,10198.83
2/25/2010,10101.96
2/26/2010,10126.03
3/1/2010,10172.06
3/2/2010,10221.84
3/3/2010,10253.14
3/4/2010,10145.72
3/5/2010,10368.96
3/8/2010,10585.92
3/9/2010,10567.65
3/10/2010,10563.92
3/11/2010,10664.95
3/12/2010,10751.26
3/15/2010,10751.98
3/16/2010,10721.71
3/17/2010,10846.98
3/18/2010,10744.03
3/19/2010,10824.72
3/23/2010,10774.15
3/24/2010,10815.03
3/25/2010,10828.85
3/26/2010,10996.37
3/29/2010,10986.47
3/30/2010,11097.14
3/31/2010,11089.94
4/1/2010,11244.40
4/2/2010,11286.09
4/5/2010,11339.30
4/6/2010,11282.32
4/7/2010,11292.83
4/8/2010,11168.20
4/9/2010,11204.34
4/12/2010,11251.90
4/13/2010,11161.23
4/14/2010,11204.90
4/15/2010,11273.79
4/16/2010,11102.18
4/19/2010,10908.77
4/20/2010,10900.68
4/21/2010,11090.05
4/22/2010,10949.09
4/23/2010,10914.46
4/26/2010,11165.79
4/27/2010,11212.66
4/28/2010,10924.79
4/30/2010,11057.40
5/6/2010,10695.69
5/7/2010,10364.59
5/10/2010,10530.70
5/11/2010,10411.10
5/12/2010,10394.03
5/13/2010,10620.55
5/14/2010,10462.51
5/17/2010,10235.76
5/18/2010,10242.64
5/19/2010,10186.84
5/20/2010,10030.31
5/21/2010,9784.54
5/24/2010,9758.40
5/25/2010,9459.89
5/26/2010,9522.66
5/27/2010,9639.72
5/28/2010,9762.98
5/31/2010,9768.70
6/1/2010,9711.83
6/2/2010,9603.24
6/3/2010,9914.19
6/4/2010,9901.19
6/7/2010,9520.80
6/8/2010,9537.94
6/9/2010,9439.13
6/10/2010,9542.65
6/11/2010,9705.25
6/14/2010,9879.85
6/15/2010,9887.89
6/16/2010,10067.15
6/17/2010,9999.40
6/18/2010,9995.02
6/21/2010,10238.01
6/22/2010,10112.89
6/23/2010,9923.70
6/24/2010,9928.34
6/25/2010,9737.48
6/28/2010,9693.94
6/29/2010,9570.67
6/30/2010,9382.64
7/1/2010,9191.60
7/2/2010,9203.71
7/5/2010,9266.78
7/6/2010,9338.04
7/7/2010,9279.65
7/8/2010,9535.74
7/9/2010,9585.32
7/12/2010,9548.11
7/13/2010,9537.23
7/14/2010,9795.24
7/15/2010,9685.53
7/16/2010,9408.36
7/21/2010,9278.83
7/22/2010,9220.88
7/23/2010,9430.96
7/26/2010,9503.66
7/27/2010,9496.85
7/28/2010,9753.27
7/29/2010,9696.02
7/30/2010,9537.30
8/2/2010,9570.31
8/3/2010,9694.01
8/4/2010,9489.34
8/5/2010,9653.92
8/6/2010,9642.12
8/9/2010,9572.49
8/10/2010,9551.05
8/11/2010,9292.85
8/12/2010,9212.59
8/13/2010,9253.46
8/16/2010,9196.67
8/17/2010,9161.68
8/18/2010,9240.54
8/19/2010,9362.68
8/20/2010,9179.38
8/23/2010,9116.69
8/24/2010,8995.14
8/25/2010,8845.39
8/26/2010,8906.48
8/27/2010,8991.06
8/30/2010,9149.26
8/31/2010,8824.06
9/1/2010,8927.02
9/2/2010,9062.84
9/3/2010,9114.13
9/6/2010,9301.32
9/7/2010,9226.00
9/8/2010,9024.60
9/9/2010,9098.39
9/10/2010,9239.17
9/13/2010,9321.82
9/14/2010,9299.31
9/16/2010,9509.50
9/17/2010,9626.09
9/21/2010,9602.11
9/22/2010,9566.32
9/24/2010,9471.67
9/27/2010,9603.14
9/28/2010,9495.76
9/29/2010,9559.38
9/30/2010,9369.35
10/1/2010,9404.23
10/4/2010,9381.06
10/5/2010,9518.76
10/6/2010,9691.43
10/7/2010,9684.81
10/8/2010,9588.88
10/12/2010,9388.64
10/13/2010,9403.51
10/14/2010,9583.51
10/15/2010,9500.25
10/18/2010,9498.49
10/19/2010,9539.45
10/20/2010,9381.60
10/21/2010,9376.48
10/22/2010,9426.71
10/25/2010,9401.16
10/26/2010,9377.38
10/27/2010,9387.03
10/28/2010,9366.03
10/29/2010,9202.45
11/1/2010,9154.72
11/2/2010,9159.98
11/4/2010,9358.78
11/5/2010,9625.99
11/8/2010,9732.92
11/9/2010,9694.49
11/10/2010,9830.52
11/11/2010,9861.46
11/12/2010,9724.81
11/15/2010,9827.51
11/16/2010,9797.10
11/17/2010,9811.66
11/18/2010,10013.63
