Date,Close
2010-01-04 00:00:00+08:00,21823.279296875
2010-01-05 00:00:00+08:00,22279.580078125
2010-01-06 00:00:00+08:00,22416.669921875
2010-01-07 00:00:00+08:00,22269.44921875
2010-01-08 00:00:00+08:00,22296.75
2010-01-11 00:00:00+08:00,22411.51953125
2010-01-12 00:00:00+08:00,22326.640625
2010-01-13 00:00:00+08:00,21748.599609375
2010-01-14 00:00:00+08:00,21716.94921875
2010-01-15 00:00:00+08:00,21654.16015625
2010-01-18 00:00:00+08:00,21460.009765625
2010-01-19 00:00:00+08:00,21677.98046875
2010-01-20 00:00:00+08:00,21286.169921875
2010-01-21 00:00:00+08:00,20862.669921875
2010-01-22 00:00:00+08:00,20726.1796875
2010-01-25 00:00:00+08:00,20598.55078125
2010-01-26 00:00:00+08:00,20109.330078125
2010-01-27 00:00:00+08:00,20033.0703125
2010-01-28 00:00:00+08:00,20356.369140625
2010-01-29 00:00:00+08:00,20121.990234375
2010-02-01 00:00:00+08:00,20243.75
2010-02-02 00:00:00+08:00,20272.1796875
2010-02-03 00:00:00+08:00,20722.080078125
2010-02-04 00:00:00+08:00,20341.640625
2010-02-05 00:00:00+08:00,19665.080078125
2010-02-08 00:00:00+08:00,19550.890625
2010-02-09 00:00:00+08:00,19790.279296875
2010-02-10 00:00:00+08:00,19922.220703125
2010-02-11 00:00:00+08:00,20290.689453125
2010-02-12 00:00:00+08:00,20268.689453125
2010-02-17 00:00:00+08:00,20534.009765625
2010-02-18 00:00:00+08:00,20422.150390625
2010-02-19 00:00:00+08:00,19894.01953125
2010-02-22 00:00:00+08:00,20377.26953125
2010-02-23 00:00:00+08:00,20623.0
2010-02-24 00:00:00+08:00,20467.740234375
2010-02-25 00:00:00+08:00,20399.5703125
2010-02-26 00:00:00+08:00,20608.69921875
2010-03-01 00:00:00+08:00,21056.9296875
2010-03-02 00:00:00+08:00,20906.109375
2010-03-03 00:00:00+08:00,20876.7890625
2010-03-04 00:00:00+08:00,20575.779296875
2010-03-05 00:00:00+08:00,20787.970703125
2010-03-08 00:00:00+08:00,21196.869140625
2010-03-09 00:00:00+08:00,21207.55078125
2010-03-10 00:00:00+08:00,21208.2890625
2010-03-11 00:00:00+08:00,21228.19921875
2010-03-12 00:00:00+08:00,21209.740234375
2010-03-15 00:00:00+08:00,21079.099609375
2010-03-16 00:00:00+08:00,21022.9296875
2010-03-17 00:00:00+08:00,21384.490234375
2010-03-18 00:00:00+08:00,21330.669921875
2010-03-19 00:00:00+08:00,21370.8203125
2010-03-22 00:00:00+08:00,20933.25
2010-03-23 00:00:00+08:00,20987.779296875
2010-03-24 00:00:00+08:00,21008.619140625
2010-03-25 00:00:00+08:00,20778.55078125
2010-03-26 00:00:00+08:00,21053.109375
2010-03-29 00:00:00+08:00,21237.4296875
2010-03-30 00:00:00+08:00,21374.7890625
2010-03-31 00:00:00+08:00,21239.349609375
2010-04-01 00:00:00+08:00,21537.0
